COUNTYCODE,COUNTYID,COUNTYNAME,幾何,記錄數,TOWNCODE,TOWNENG,TOWNID,TOWNNAME
10014,V,臺東縣,POLYGON,1,10014020,Chenggong Township,V02,成功鎮
10013,T,屏東縣,POLYGON,1,10013210,Jiadong Township,T21,佳冬鄉
10009,P,雲林縣,POLYGON,1,10009130,Mailiao Township,P13,麥寮鄉
10014,V,臺東縣,MULTIPOLYGON,1,10014110,Lvdao Township,V11,綠島鄉
10014,V,臺東縣,MULTIPOLYGON,1,10014160,Lanyu Township,V16,蘭嶼鄉
10007,N,彰化縣,POLYGON,1,10007120,Tianzhong Township,N07,田中鎮
10007,N,彰化縣,POLYGON,1,10007170,Shetou Township,N19,社頭鄉
10013,T,屏東縣,POLYGON,1,10013140,Zhutian Township,T14,竹田鄉
10013,T,屏東縣,POLYGON,1,10013050,Wandan Township,T05,萬丹鄉
10005,K,苗栗縣,POLYGON,1,10005160,Sanwan Township,K13,三灣鄉
10004,J,新竹縣,POLYGON,1,10004110,Emei Township,J13,峨眉鄉
10005,K,苗栗縣,POLYGON,1,10005110,Nanzhuang Township,K14,南庄鄉
66000,B,臺中市,POLYGON,1,66000070,Nantun District,B07,南屯區
66000,B,臺中市,POLYGON,1,66000230,Wuri District,B23,烏日區
10010,Q,嘉義縣,POLYGON,1,10010010,Taibao City,Q12,太保市
10010,Q,嘉義縣,POLYGON,1,10010130,Zhongpu Township,Q14,中埔鄉
10010,Q,嘉義縣,POLYGON,1,10010160,Fanlu Township,Q17,番路鄉
10010,Q,嘉義縣,POLYGON,1,10010120,Shuishang Township,Q13,水上鄉
10007,N,彰化縣,POLYGON,1,10007100,Yuanlin City,N05,員林市
64000,E,高雄市,POLYGON,1,64000110,Xiaogang District,E11,小港區
10002,G,宜蘭縣,POLYGON,1,10002030,Suao Township,G09,蘇澳鎮
10002,G,宜蘭縣,POLYGON,1,10002090,Wujie Township,G07,五結鄉
10002,G,宜蘭縣,POLYGON,1,10002010,Yilan City,G01,宜蘭市
10002,G,宜蘭縣,POLYGON,1,10002060,Zhuangwei Township,G04,壯圍鄉
09007,Z,連江縣,MULTIPOLYGON,1,09007010,Nangan Township,Z01,南竿鄉
09007,Z,連江縣,MULTIPOLYGON,1,09007030,Juguang Township,Z03,莒光鄉
09020,W,金門縣,POLYGON,1,09020040,Jinning Township,W04,金寧鄉
09020,W,金門縣,MULTIPOLYGON,1,09020060,Wuchiou Township,W06,烏坵鄉
10002,G,宜蘭縣,POLYGON,1,10002020,Luodong Township,G06,羅東鎮
10002,G,宜蘭縣,POLYGON,1,10002070,Yuanshan Township,G05,員山鄉
10002,G,宜蘭縣,POLYGON,1,10002080,Dongshan Township,G08,冬山鄉
10002,G,宜蘭縣,POLYGON,1,10002100,Sanxing Township,G10,三星鄉
10002,G,宜蘭縣,POLYGON,1,10002110,Datong Township,G11,大同鄉
10004,J,新竹縣,POLYGON,1,10004020,Zhudong Township,J02,竹東鎮
10004,J,新竹縣,POLYGON,1,10004030,Xinpu Township,J04,新埔鎮
10004,J,新竹縣,POLYGON,1,10004040,Guanxi Township,J03,關西鎮
10004,J,新竹縣,POLYGON,1,10004050,Hukou Township,J06,湖口鄉
10004,J,新竹縣,POLYGON,1,10004070,Qionglin Township,J10,芎林鄉
10004,J,新竹縣,POLYGON,1,10004080,Hengshan Township,J08,橫山鄉
10004,J,新竹縣,POLYGON,1,10004090,Beipu Township,J12,北埔鄉
10004,J,新竹縣,POLYGON,1,10004100,Baoshan Township,J11,寶山鄉
10004,J,新竹縣,POLYGON,1,10004120,Jianshi Township,J14,尖石鄉
10004,J,新竹縣,POLYGON,1,10004130,Wufeng Township,J15,五峰鄉
10005,K,苗栗縣,POLYGON,1,10005010,Miaoli City,K01,苗栗市
10005,K,苗栗縣,POLYGON,1,10005070,Zhuolan Township,K16,卓蘭鎮
10005,K,苗栗縣,POLYGON,1,10005080,Dahu Township,K15,大湖鄉
10005,K,苗栗縣,POLYGON,1,10005090,Gongguan Township,K04,公館鄉
10005,K,苗栗縣,POLYGON,1,10005100,Tongluo Township,K05,銅鑼鄉
10005,K,苗栗縣,POLYGON,1,10005120,Touwu Township,K08,頭屋鄉
10005,K,苗栗縣,POLYGON,1,10005130,Sanyi Township,K06,三義鄉
10005,K,苗栗縣,POLYGON,1,10005140,Xihu Township,K07,西湖鄉
10005,K,苗栗縣,POLYGON,1,10005150,Zaoqiao Township,K11,造橋鄉
10005,K,苗栗縣,POLYGON,1,10005170,Shitan Township,K17,獅潭鄉
10005,K,苗栗縣,POLYGON,1,10005180,Taian Township,K18,泰安鄉
10007,N,彰化縣,POLYGON,1,10007010,Zhanghua City,N01,彰化市
10007,N,彰化縣,POLYGON,1,10007030,Hemei Township,N03,和美鎮
10007,N,彰化縣,POLYGON,1,10007040,Xianxi Township,N09,線西鄉
10007,N,彰化縣,POLYGON,1,10007050,Shengang Township,N10,伸港鄉
10007,N,彰化縣,POLYGON,1,10007070,Xiushui Township,N12,秀水鄉
10007,N,彰化縣,POLYGON,1,10007080,Huatan Township,N13,花壇鄉
10007,N,彰化縣,POLYGON,1,10007090,Fenyuan Township,N14,芬園鄉
10007,N,彰化縣,POLYGON,1,10007110,Xihu Township,N06,溪湖鎮
10010,Q,嘉義縣,MULTIPOLYGON,1,10010090,Dongshi Township,Q09,東石鄉
10007,N,彰化縣,POLYGON,1,10007130,Dacun Township,N15,大村鄉
10007,N,彰化縣,POLYGON,1,10007140,Puyan Township,N16,埔鹽鄉
10007,N,彰化縣,POLYGON,1,10007150,Puxin Township,N17,埔心鄉
10007,N,彰化縣,POLYGON,1,10007160,Yongjing Township,N18,永靖鄉
10007,N,彰化縣,POLYGON,1,10007180,Ershui Township,N20,二水鄉
10007,N,彰化縣,POLYGON,1,10007200,Erlin Township,N08,二林鎮
10007,N,彰化縣,POLYGON,1,10007220,Bitou Township,N22,埤頭鄉
10007,N,彰化縣,POLYGON,1,10007230,Fangyuan Township,N23,芳苑鄉
10007,N,彰化縣,POLYGON,1,10007240,Dacheng Township,N24,大城鄉
10007,N,彰化縣,POLYGON,1,10007250,Zhutang Township,N25,竹塘鄉
10007,N,彰化縣,POLYGON,1,10007260,Xizhou Township,N26,溪州鄉
10008,M,南投縣,POLYGON,1,10008010,Nantou City,M01,南投市
10008,M,南投縣,POLYGON,1,10008020,Puli Township,M02,埔里鎮
10008,M,南投縣,POLYGON,1,10008030,Caotun Township,M03,草屯鎮
10008,M,南投縣,POLYGON,1,10008040,Zhushan Township,M04,竹山鎮
10008,M,南投縣,POLYGON,1,10008050,Jiji Township,M05,集集鎮
10008,M,南投縣,POLYGON,1,10008060,Mingjian Township,M06,名間鄉
10008,M,南投縣,POLYGON,1,10008070,Lugu Township,M07,鹿谷鄉
10008,M,南投縣,POLYGON,1,10008080,Zhongliao Township,M08,中寮鄉
10008,M,南投縣,POLYGON,1,10008090,Yuchi Township,M09,魚池鄉
